"N","rxx","bias","AbilityX","AbilitySD","PerceptionX","PerceptionSD","t.omni.t","t.omni.p","t.low.t","t.low.p","t.hi.t","t.hi.p"
40,0.05,50,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.06156445391245,0.0135373352220597,-3.06156445391245,0.0135373352220597
40,0.05,60,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-4.96266644278657,0.000777676620196431,-4.96266644278657,0.000777676620196431
40,0.05,70,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-6.02231320456103,0.000197039566900269,-6.02231320456103,0.000197039566900269
40,0.05,80,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-8.2963664382137,1.65332891586686e-05,-8.2963664382137,1.65332891586686e-05
40,0.05,90,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-8.67465227946673,1.15272672318749e-05,-8.67465227946673,1.15272672318749e-05
40,0.05,100,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-6.64988914120805,9.37503966720428e-05,-6.64988914120805,9.37503966720428e-05
40,0.1,0,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-2.84863380478063,0.0191317738663153,-2.84863380478063,0.0191317738663153
40,0.1,10,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-2.49087144115902,0.0343728257415453,-2.49087144115902,0.0343728257415453
40,0.1,20,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-4.15806404107932,0.00245476703368408,-4.15806404107932,0.00245476703368408
40,0.1,30,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-4.33989297576203,0.00187775832857971,-4.33989297576203,0.00187775832857971
40,0.1,40,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-5.23287480486627,0.000539857015802573,-5.23287480486627,0.000539857015802573
40,0.1,50,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.29771527286869,0.00926360577889964,-3.29771527286869,0.00926360577889964
40,0.1,60,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-6.00691942789473,0.00020078883584077,-6.00691942789473,0.00020078883584077
40,0.1,70,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.94571706012796,0.00337656038220015,-3.94571706012796,0.00337656038220015
40,0.1,80,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-5.57214519996989,0.000346425752032415,-5.57214519996989,0.000346425752032415
40,0.1,90,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-4.71881058542598,0.00109091174195649,-4.71881058542598,0.00109091174195649
40,0.1,100,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-9.58638274727309,5.08012870828796e-06,-9.58638274727309,5.08012870828796e-06
40,0.15,0,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.56119295757782,0.00610786072269539,-3.56119295757782,0.00610786072269539
40,0.15,10,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-2.42910395451509,0.0380384172469701,-2.42910395451509,0.0380384172469701
40,0.15,20,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-2.49500883054838,0.034140275736277,-2.49500883054838,0.034140275736277
40,0.15,30,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-3.30366523785525,0.00917611580813389,-3.30366523785525,0.00917611580813389
40,0.15,40,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-5.28926756284378,0.000500918148053479,-5.28926756284378,0.000500918148053479
40,0.15,50,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-5.84276396725162,0.000245967806989346,-5.84276396725162,0.000245967806989346
40,0.15,60,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-4.48331832006639,0.00152511631234167,-4.48331832006639,0.00152511631234167
40,0.15,70,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-10.1217880280796,3.23497316117093e-06,-10.1217880280796,3.23497316117093e-06
40,0.15,80,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-4.86977940778338,0.000883786248576422,-4.86977940778338,0.000883786248576422
40,0.15,90,20.5,11.6904519445001,20.5,11.6904519445001,0,1,-4.48211736280554,0.00152775608860346,-4.48211736280554,0.00152775608860346
