"N","rxx","bias","abX","abSD","percX.err","percSD.err","percX.bi","percSD.bi","percX.biWerr","percSD.biWerr","t.omni.err.t","t.omni.err.p","t.omni.biased.t","t.omni.biased.p","t.omni.biasedWerr.t","t.omni.biasedWerr.p","t.low.err.t","t.low.err.p","t.low.biased.t","t.low.biased.p","t.low.biasedWerr.t","t.low.biasedWerr.p","t.hi.err.t","t.hi.err.p","t.hi.biased.t","t.hi.biased.p","t.hi.biasedWerr.t","t.hi.biasedWerr.p"
80,0.1,11,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-3.49237389613613,0.00243715676065257,-22.6778683805536,3.20632743233953e-15,-21.8249859115725,6.47416139875629e-15,-3.49237389613613,0.00243715676065257,-22.6778683805536,3.20632743233953e-15,-21.8249859115725,6.47416139875629e-15
80,0.1,12,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-3.7804613323675,0.00126493864594314,-22.6778683805536,3.20632743233953e-15,-22.425799025151,3.93618616796309e-15,-3.7804613323675,0.00126493864594314,-22.6778683805536,3.20632743233953e-15,-22.425799025151,3.93618616796309e-15
80,0.1,13,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.02572814208805,0.000722462005077501,-22.6778683805536,3.20632743233953e-15,-22.152146802814,4.92981588674953e-15,-4.02572814208805,0.000722462005077501,-22.6778683805536,3.20632743233953e-15,-22.152146802814,4.92981588674953e-15
80,0.1,14,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-5.42902928472107,3.07727671186333e-05,-22.6778683805536,3.20632743233953e-15,-22.5618494093667,3.52279670982951e-15,-5.42902928472107,3.07727671186333e-05,-22.6778683805536,3.20632743233953e-15,-22.5618494093667,3.52279670982951e-15
80,0.1,15,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-5.70907719261384,1.67380668695796e-05,-22.6778683805536,3.20632743233953e-15,-22.7549896367513,3.01260117094844e-15,-5.70907719261384,1.67380668695796e-05,-22.6778683805536,3.20632743233953e-15,-22.7549896367513,3.01260117094844e-15
80,0.1,16,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.87570474136825,0.000105000225887623,-22.6778683805536,3.20632743233953e-15,-22.7549896367513,3.01260117094844e-15,-4.87570474136825,0.000105000225887623,-22.6778683805536,3.20632743233953e-15,-22.7549896367513,3.01260117094844e-15
80,0.1,17,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-5.08428411863007,6.58827140792698e-05,-22.6778683805536,3.20632743233953e-15,-22.5702634578083,3.49877714559199e-15,-5.08428411863007,6.58827140792698e-05,-22.6778683805536,3.20632743233953e-15,-22.5702634578083,3.49877714559199e-15
80,0.1,18,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.31396602742326,0.000374278943199689,-22.6778683805536,3.20632743233953e-15,-23.1982527354195,2.11356762932658e-15,-4.31396602742326,0.000374278943199689,-22.6778683805536,3.20632743233953e-15,-23.1982527354195,2.11356762932658e-15
80,0.1,19,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-3.83779652542219,0.00110976658597152,-22.6778683805536,3.20632743233953e-15,-22.7808720977855,2.95037476724392e-15,-3.83779652542219,0.00110976658597152,-22.6778683805536,3.20632743233953e-15,-22.7808720977855,2.95037476724392e-15
80,0.1,20,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.47959067446228,0.000256809662643222,-22.6778683805536,3.20632743233953e-15,-22.815519832024,2.86918146045178e-15,-4.47959067446228,0.000256809662643222,-22.6778683805536,3.20632743233953e-15,-22.815519832024,2.86918146045178e-15
80,0.1,21,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-4.34918773535062,0.000345433402037384,-22.6778683805536,3.20632743233953e-15,-22.5282870717997,3.62034469367211e-15,-4.34918773535062,0.000345433402037384,-22.6778683805536,3.20632743233953e-15,-22.5282870717997,3.62034469367211e-15
80,0.1,22,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-3.10677092265602,0.00580680269050931,-22.6778683805536,3.20632743233953e-15,-22.6890573716152,3.17742786999163e-15,-3.10677092265602,0.00580680269050931,-22.6778683805536,3.20632743233953e-15,-22.6890573716152,3.17742786999163e-15
80,0.1,23,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,40.5,23.2379000772445,0,1,0,1,0,1,-5.69995722319259,1.70708745018535e-05,-22.6778683805536,3.20632743233953e-15,-22.8416096288064,2.80959415565437e-15,-5.69995722319259,1.70708745018535e-05,-22.6778683805536,3.20632743233953e-15,-22.8416096288064,2.80959415565437e-15
